Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Key Pressed,Time,Time (HP),Key Pressed,Time,Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test7,77,78063,C11,accept,0,78,79773.1,A,79,80347.6,,,,79,80347.8,0,1,310,
test7,169,171352,C12,accept,0,171,173486,A,171,174012,,,,171,174012,0,,310,
test7,171,173380,C27,accept,0,172,174942,A,172,175148,,,,172,175148,0,,310,
test7,100,101385,C29,accept,0,103,104519,A,104,105676,,,,104,105676,0,,310,
test7,232,235235,C35,accept,0,236,239428,A,237,240437,,,,237,240437,0,,310,
test7,249,252473,C36,accept,0,250,254237,A,251,254700,,,,251,254700,0,,310,
test7,259,262614,C4,accept,0,262,266005,A,263,266780,,,,263,266780,0,,310,
test7,35,35474.9,C42,accept,0,36,37229.6,A,37,37787.6,,,,37,37787.8,0,,310,
test7,117,118623,C48,accept,0,118,120310,A,119,120860,,,,119,120860,0,,310,
test7,210,212927,C61,accept,0,213,216189,A,213,216844,,,,213,216844,0,,310,
test7,261,264642,C65,accept,0,265,269094,S,265,269644,A,266,270076,266,270076,0,,310,
test7,271,274781,C67,accept,0,0,-1,,,,,,,,,1,,310,
test7,197,199744,C74,accept,0,199,202221,A,200,202890,,,,200,202890,0,,310,
test7,238,241319,C79,accept,0,248,252133,A,249,252684,,,,249,252684,0,,310,
test7,106,107469,C88,accept,0,108,110245,A,109,110860,,,,109,110860,0,,310,
test7,74,75022,C96,accept,0,79,80925.5,A,79,81051.5,,,,79,81051.7,0,,310,

test7,262,265656,C24,handoff,0,269,273109,H,269,273692,,,,269,273692,0,0,310,
test7,10,10124,C32,handoff,0,11,11357.5,H,11,11947.6,,,,11,11947.8,0,,310,
test7,16,16208.1,C40,handoff,0,17,17821.8,H,18,18507.6,,,,18,18507.8,0,,310,
test7,97,98343,C46,handoff,0,98,100086,H,99,100764,,,,99,100764,0,,310,
test7,40,40545.4,C52,handoff,0,41,41909.6,H,42,42650.3,,,,42,42650.4,0,,310,
test7,190,192646,C53,handoff,0,192,194779,H,192,195372,,,,192,195372,0,,310,
test7,261,264642,C59,handoff,0,263,267422,H,264,268076,,,,264,268076,0,,310,
test7,177,179464,C73,handoff,0,178,181316,H,179,181932,,,,179,181932,0,,310,
test7,196,198729,C83,handoff,0,197,200453,H,198,201468,,,,198,201468,0,,310,
test7,199,201772,C91,handoff,0,201,203912,Down Arrow,201,204476,,,,201,204476,0,,310,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed
22,23243.3,C73,37000,1,
151,154011,C08,40000,
208,211008,C78,39000,

Trial,Callsign,Dismiss Time,Dismiss Time HP
test7,C91,74,75571.3
test7,C08,113,114660

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Recall No,Text Entered
1,4
Recall No,Text Entered
1,4
Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Key Pressed,Time,Time (HP),Key Pressed,Time,Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test5,17,17215.8,C08,accept,0,18,18920.5,A,19,19447.1,,,,19,19447.2,0,0,290,
test5,265,268689,C2,accept,0,271,275160,A,271,275671,,,,271,275671,0,,290,
test5,240,243339,C21,accept,0,243,246601,A,243,247159,,,,243,247159,0,,290,
test5,203,205820,C22,accept,0,209,212841,A,210,213021,,,,210,213022,0,,290,
test5,108,109490,C26,accept,0,121,123017,A,121,123111,,,,121,123111,0,,290,
test5,42,42566.3,C46,accept,0,43,44049.2,A,44,44695.1,,,,44,44695.2,0,,290,
test5,188,190609,C49,accept,0,189,191737,A,189,192359,,,,189,192359,0,,290,
test5,273,276800,C52,accept,0,281,285912,A,282,286519,,,,282,286519,0,,290,
test5,4,4032.72,C55,accept,0,5,5216.49,A,5,5895.07,,,,5,5895.3,0,,290,
test5,99,100365,C57,accept,0,100,101809,A,100,102359,,,,100,102359,0,,290,
test5,197,199736,C60,accept,0,198,200846,A,198,201383,,,,198,201383,0,,290,
test5,47,47636.1,C62,accept,0,49,49765.7,A,49,50343.1,,,,49,50343.3,0,,290,
test5,117,118616,C66,accept,0,119,121481,A,120,122103,,,,120,122103,0,,290,
test5,219,222044,C71,accept,0,227,230681,A,228,231319,,,,228,231319,0,,290,
test5,259,262605,C75,accept,0,261,264755,A,262,265799,,,,262,265799,0,,290,
test5,276,279842,C88,accept,0,277,281321,A,277,281847,,,,277,281847,0,,290,
test5,52,52706.1,C95,accept,0,56,56870.4,A,56,57479.2,,,,56,57479.4,0,,290,

test5,65,65888.5,C29,handoff,0,67,68568,H,67,68775.1,,,,67,68775.3,0,0,290,
test5,60,60818.5,C30,handoff,0,66,67321,H,66,67543.1,,,,66,67543.3,0,,290,
test5,20,20257.9,C33,handoff,0,24,24545.3,H,25,25426.9,,,,25,25427.1,0,,290,
test5,249,252465,C35,handoff,0,251,255001,Down Arrow,252,255671,Up Arrow,253,256647,253,256647,0,,290,
test5,211,213932,C37,handoff,0,212,215433,H,213,216423,,,,213,216423,0,,290,
test5,238,241311,C50,handoff,0,240,243481,H,241,244679,,,,241,244679,0,,290,
test5,122,123686,C59,handoff,0,123,124993,H,123,125447,,,,123,125447,0,,290,
test5,199,201764,C68,handoff,0,207,209979,H,208,210991,,,,208,210992,0,,290,
test5,57,57776.4,C79,handoff,0,64,65161.2,H,64,65815.1,,,,64,65815.3,0,,290,
test5,35,35468.2,C81,handoff,0,38,38656.2,H,38,39255.1,,,,38,39255.3,0,,290,
test5,75,76029.6,C82,handoff,0,80,81784.2,H,81,82407.1,,,,81,82407.3,0,,290,
test5,137,138895,C90,handoff,0,143,145077,H,143,145607,,,,143,145607,0,,290,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed
13,13342.8,C35,35000,1,
79,80190.6,C55,35000,
220,223967,C08,38000,
234,237543,C46,37000,

Trial,Callsign,Dismiss Time,Dismiss Time HP
test5,C35,96,98022.8
test5,C50,139,141022

