Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Key Pressed,Time,Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test4,0,2.52629e+014,C1,accept,0,3,3424.2,A,4,4102.52,4,4102.73,0,1,315,
test4,151,153100,C10,accept,0,152,154967,A,153,155224,153,155225,0,,315,
test4,145,147017,C29,accept,0,146,148368,A,146,148580,146,148581,0,,315,
test4,193,195687,C31,accept,0,0,-1,,,,,,1,,315,
test4,19,19250.9,C35,accept,0,24,24920.1,A,25,25604.5,25,25604.6,0,,315,
test4,240,243347,C39,accept,0,246,249538,A,246,249780,246,249781,0,,315,
test4,170,172367,C49,accept,0,171,174168,A,172,174500,172,174500,0,,315,
test4,161,163240,C57,accept,0,162,164839,A,162,165044,162,165045,0,,315,
test4,249,252472,C59,accept,0,250,254408,A,252,256036,252,256037,0,,315,
test4,290,294048,C61,accept,0,291,295919,A,292,296565,292,296565,0,,315,
test4,47,47643.7,C65,accept,0,49,50046.5,A,49,50388.5,49,50388.6,0,,315,
test4,276,279851,C66,accept,0,278,282039,A,278,282788,278,282789,0,,315,
test4,65,65895.9,C82,accept,0,67,68088.1,A,67,68356.4,67,68356.6,0,,315,
test4,37,37504.1,C83,accept,0,38,39280.3,A,39,39611.8,39,39612,0,,315,

test4,105,106456,C15,handoff,1,-1,-1,,,,105,106456,,1,315,
test4,267,270725,C16,handoff,0,268,272408,H,269,273204,269,273205,0,,315,
test4,171,173381,C26,handoff,0,173,175520,H,174,176548,174,176549,0,,315,
test4,293,297089,C35,handoff,0,296,300232,H,296,301060,296,301061,0,,315,
test4,76,77050.4,C51,handoff,0,78,79504.4,H,79,80404.5,79,80404.7,0,,315,
test4,15,15194.8,C54,handoff,0,16,16624.1,H,17,17844.4,17,17844.6,0,,315,
test4,181,183522,C64,handoff,0,183,185642,Down Arrow,184,186643,184,186643,0,,315,
test4,220,223066,C91,handoff,0,222,225199,H,223,226213,223,226213,0,,315,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed
14,14613.6,C2,33000,0,
127,128836,C16,39000,
206,209470,C35,35000,
